IDNumber	Author	Title	PublishingDetails	Note	firmsIndividualsIndex	Location	featherid
379	-	150th anniversary number.	NULL	Westmorland Gazette, 24 May 1968.	Westmorland Gazette and Kendal Advertiser, The	Westmorland	344
380	Richardson, Mrs. Herbert.	Wiltshire newspapers - past and present.	The Wiltshire Arch. And Natural History Soc. Magazine, 40(1917-19), 318-51; ibid, 41(1920-22),53-69.	NULL	NULL	Wiltshire	345
381	Slade, J. J.	Wiltshire newspapers - past and present.	The Wiltshire Arch. And Natural History Soc. Magazine, 40 (1917-19), 37-74, 129-41.	NULL	NULL	Wiltshire	346
382	-	Bicentenary supplement 1729-1929.	Salisbury and Wiltshire Journal, 7 Jun 1929.	Note: See also Madden and Dixon 1494-95, 1497	Salisbury Journal, The	Wiltshire	347
383	Burton, J. R.	Early Worcestershire printers and books.	Associated Arch. Soc. Reports and Papers, 24 (1897), 197-213.	NULL	NULL	Worcestershire	348
384	Forster, Harold.	Rhymes of a provincial bookseller.	ABMR 5 (1978), 2-7.	NULL	Crane, John	Worcestershire	349
385	Haden, H. Jack.	The story of Mark and Moody Limited 1840-1957.	Stourbridge: Mark and Moody, 1957.	NULL	Mark and Moody	Worcestershire	350
386	Griffiths, lvor.	Berrow's Worcester Joumal. An examination of the antiquity of Britain's oldest newspaper.	Worcester: George and William Berrows Ltd., 1941.	Note: This is part of a controversy on the age of this newspaper, and usefully summarises the arguments. See also Madden and Dixon 674-75, 677; and New Cambridge bibliography of English Literature, vol. 2, 1368.	Berrow's Worcester Journal	Worcestershire	351
387	Evans, Ian A.	Yorkshire newspapers and periodicals in the eighteenth century: a descriptive bibliography.	Leeds University M.A. thesis, 1975.	NULL	NULL	Yorkshire	352
388	Green, T.	A sketch of the origin and growth of the printing craft in Yorkshire.	Birmingham, 1936.	NULL	NULL	Yorkshire	353
389	Laughton, G. E., and Stephen, L. R.	Yorkshire newspapers.	London, 1960.	NULL	NULL	Yorkshire	354
390	Michelmore, D. J. H., Robinson, F. J. G., and Wallis, P. J.	A preliminary guide to Yorkshire book subscription lists.	Newcastle-upon-Tyne: PHIBB, 40, 1973.	NULL	NULL	Yorkshire	355
391	Swaini, Elizabeth A.	The auction as a means of book distribution in eighteenth-century Yorkshire.	Publishing History, 1 (1977), 49-91.	NULL	NULL	Yorkshire	356
392	Sayle, Charles.	Cambridge fragments.	Libr., 3rd ser., 2 (1911),339-55; and Postscript. Ibid, 3 (1912), 336-39.	NULL	Goes, Hugo	Yorkshire	357
393	Dickons, J. Norton.	A catalogue of books, pamphlets, &c., published at Bradford.	Bradford, 1895.	NULL	NULL	Yorkshire	358
394	Hartley, M. E.	The literary institutions of Bradford, with notes on the early printers, booksellers and newspaper press.	BAR, 14 (1917), xv-xxiii.	NULL	NULL	Yorkshire	359
395	NULL	120 years of progress: the Yorkshire Observer's long service to the Community.	Yorkshire Observer, 6 Feb 1954.	NULL	Bradford Observer, The	Yorkshire	360
396	Brown, Christine.	A history of the book trade in Doncaster up to l850.	Leeds University M.A. thesis, 1978.	NULL	NULL	Yorkshire	361
397	Turner, J. Horsfall.	Halifax books and authors.	Brighouse, 1906.	NULL	NULL	Yorkshire	362
398	Hanson, T.	W. Edwards of Halifax: a family of book-sellers, collectors, and bookbinders.	Papers of the Halifax Antiq. Soc., (1912), 141-200.	NULL	Edwards, William	Yorkshire	363
399	Nixon, H. M.	A signed Edwards of Halifax binding, c.1782.	BC, 21 (1972), 256-57.	NULL	Edwards, William	Yorkshire	364
400	NULL	Centenary number.	Harrogate Advertiser, 19 Sep 1936.	NULL	Harrogate Advertiser, The	Yorkshire	365
401	NULL	Centenary number.	Harrogate Herald, 7 May 1947.	NULL	Harrogate Herald, The	Yorkshire	366
402	Page, W. G. B.	Notes on early Hull authors, booksellers, printers and stationers.	Hull, 1930.	NULL	NULL	Yorkshire	367
403	-	Notes on Hull authors, booksellers, printers, and stationers.	BAR, 6 (1908-09), i-vii.	NULL	NULL	Yorkshire	368
404	Chilton, C. W.	The inventory of a provincial bookseller's stock of 1644.	Libr., 6th ser., 1 (1979),126-43.	NULL	Awdeley, John	Yorkshire	369
405	Hand, Thomas W.	Leeds booksellers, printers, and libraries.	BAR, 8 (1910-1 1), xxxiii-xxxix.	NULL	NULL	Yorkshire	370
406	Parr, E.	Early Leeds printers, publishers and booksellers.	Leeds University M. Phil thesis, 1973.	NULL	NULL	Yorkshire	371
407	Barnes, Avril J.	The bookselling and printing business of John Binns and his successor John Heaton.	Leeds University M.A. thesis, 1977.	NULL	Binns, John	Yorkshire	372
408	Crouch, Jane L.	Some chapbooks printed by J. & C. H. Johnson of Leeds: a study.	Leeds University M.A. thesis, 1976.	NULL	Johnson, J. and C.H.	Yorkshire	373
409	NULL	The Leeds intelligencer 1754-1866.	Publ. Thoresby Soc., 40 (1955), i-ix.	Note: See also Madden and Dixon 1167.	Leeds intelligencer, The	Yorkshire	374
410	NULL	A champion of reform.	Newspaper World, 27 May 1939, 5, 12.	Note: See also Madden and Dixon 1169- 70.	Leeds Mercury, The	Yorkshire	375
411	Gibb, M.A., and Beckwith, Frank.	The Yorkshire Post: two centuries.	Leeds:Yorkshire Conservative Newspaper Co. Ltd., 1954.	NULL	Yorkshire Post, The	Yorkshire	376
412	S., J. G.	Joseph Richardson.	Binley, 1901.	NULL	Richardson, Joseph	Yorkshire	377
413	Gilberthorpe, Enid C.	Book printing at Sheffield in the eighteenth century.	Sheffield, 1967.	NULL	NULL	Yorkshire	378
414	-	Books and pamphlets printed at Sheffield before 1801: a checklist.	Library Association Fellowship thesis, 1967.	NULL	NULL	Yorkshire	379
415	Harvey, P., and Roberts, P.	The Sheffield Independent and Commercial Register.	Morning Telegraph, 11 Dec 1969.	Note: See also Madden and Dixon 1526.	Sheffield Independent, The	Yorkshire	380
416	Hester, Giles.	Nevill Simmons. Bookseller and publisher.	London: Elliot Stock, 1893.	NULL	Simmins, Nevill	Yorkshire	381
417	Smales, Gideon.	Whitby authors and their publications, with the titles of all the books printed in Whitby.	Whitby: Horne & Son, 1867.	NULL	NULL	Yorkshire	382
418	Cooper, T. P.	The city of York: some of its literary associations, printers, booksellers, and authors.	BAR, 10 (1912-13), xii-xiix.	NULL	NULL	Yorkshire	383
419	-	The sign of the Bible in Stonegate.	York: Yorkshire Architectural Society, 1929.	NULL	NULL	Yorkshire	384
420	-	The sign of the crown.	York: Edwin Story, 1925.	NULL	NULL	Yorkshire	385
421	Davies, Robert.	A memoir of the York press.	Westminster: Nichols and Sons, 1868.	NULL	NULL	Yorkshire	386
422	Duff, E. Gordon.	The printers, stationers and bookbinders of York up to 1600.	TBS, 5 (1899), 87-107.	NULL	NULL	Yorkshire	387
423	Sessions, William K., and Sessions, E. Margaret.	Printing in York from the 1490s to the present day.	York: Sessions, 1976.	NULL	NULL	Yorkshire	388
424	Gent, Thomas.	The life of Mr. Thomas Gent.	London, 1832.	NULL	Gent, Thomas	Yorkshire	389
425	Wood, Butler.	Thomas Gent: printer, bookseller and bookmaker.	London: The Library Association, 1900.	NULL	Gent, Thomas	Yorkshire	390
426	Duff, E. Gordon.	Notes on a book printed at York in 1579.	Publ. Edinburgh Bibliographical Soc., 3 (1897), 133-36.	NULL	Marchant, John	Yorkshire	391
427	Palliser, D. M., and Selwyn, D. G.	The stock of a York stationer, 1538.	Libr., 5th ser., 27 (1972), 207-19.	NULL	Mores, Neville	Yorkshire	392
428	Sessions, William, Ltd.	The story of a printing house.	York: William Sessions, 1965.	NULL	Sessions, William	Yorkshire	393
429	Curtis, Lewis Perry.	The first printer of Tristram Shandy.	Publ. Modern Language Assoc., 47 (1932), 777-89.	NULL	Ward, Ann	Yorkshire	394
234	Stephen, George A.	Norfolk bibliography.	Holt: Norfolk Press Syndicate. 1921.	Note: A monograph, not a bibliography.	NULL	Norfolk	395
235	Watson, Sydney F.	Early print in East Anglia.	Eastbourne, 1951.	NULL	NULL	Norfolk	396
236	Farrell, Frank J.	Yarmouth printers and printing.	Yarmouth: Privately Printed, 1912.	NULL	NULL	Norfolk	397
237	NULL	Centenary number.	Lynn Advertiser, 28 Feb 1941.	NULL	Lynn Advertiser, The	Norfolk	398
238	Euren, A. D.	Books and bookmen of Norwich.	BAR, 10 (1912-13), xxi-xxix.	NULL	NULL	Norfolk	399
239	Fawcett, Trevor.	Early Norwich newspapers.	NQ, 217 (1972), 363-64.	NULL	NULL	Norfolk	400
240	Fowler, E.	Norwich newspapers and their editors.	East Anglian Magazine, (1963), 180-85.	NULL	NULL	Norfolk	401
241	Nowell, Charles.	Early printing in Norwich.	Norwich, 1919.	NULL	NULL	Norfolk	402
242	Stoker, David.	The establishment of printing in Norwich: causes and effects 1660- 1760.	TCBS, 7 (1977), 94-111.	NULL	NULL	Norfolk	403
243	-	A history of the Norwich book trades from 1560 to 1760.	Library Association Fellowship thesis, 1976.	NULL	NULL	Norfolk	404
244	Williams, J. B.	Henry Cross-grove, Jacobite, journalist and printer.	Libr., 3rd ser., 5 (1914),206-19.	NULL	Crossgrove, Henry	Norfolk	405
245	NULL	History of Jarrold and Sons 1823-1948.	Norwich: Jarrold and Sons, 1948.	NULL	Jarrold and sons	Norfolk	406
246	NULL	The house of Jarrolds. 1823-1923.	Norwich: Jarrold and Sons, 1924.	NULL	Jarrold and sons	Norfolk	407
247	NULL	Jarrold 1770-1970. A book of East Anglian prints and documents.	Norwich: Jarrold and Sons, 1970.	NULL	Jarrold and sons	Norfolk	408
248	NULL	Jarrolds of Norwich.	Printing World, 185 (1970), 583-39, 551.	NULL	Jarrold and sons	Norfolk	409
249	NULL	Centenary number 1845-1945.	Norfolk News, 6 Jan 1945.	Note: See also Madden and Dixon 1327	Norfolk News, The	Norfolk	410
250	Euren, A. D.	The first provincial newspaper.	Norwich, 1924.	NULL	Norwich Post, The	Norfolk	411
251	NULL	The Norwich Post: its contemporaries and successors.	Norwich: Norfolk News Co. Ltd., 1951.	NULL	Norwich Post, The	Norfolk	412
252	Brown, Reginald W.	Northamptonshire printing, printers and booksellers.	BAR, 14 (1917), xxix-xxxvi.	NULL	NULL	Northamptonshire	413
253	-	Northamptonshire printing, printers, and booksellers.	J. Northamptonshire Natural History Soc. and Field Club, 19 (1918), 183-91; 20 (1919), 20-56.	NULL	NULL	Northamptonshire	414
254	Kennedy, Joseph C.	An introduction to the history of printing & associated trades in Northamptonshire.	Northampton: Northamptonshire Caxton Quincentenary Committee, 1976.	NULL	NULL	Northamptonshire	415
255	Hadley, W. W.	The bi-centenary record of the Northampton Mercury 1720-1920.	Northampton: The Mercury Press, 1920.	NULL	Northampton Mercury, The	Northamptonshire	416
256	NULL	History of the Northampton Mercury.	Northampton: Northampton Mercury, extra number 10, 1901.	Note: See also Madden and Dixon 1340-42, 1344-45.	Northampton Mercury, The	Northamptonshire	417
257	NULL	John Taylor, book lover and printer.	Northampton: Taylor and Sons, 1901.	NULL	Taylor, John	Northamptonshire	418
318	NULL	A view of the Oxford University Press.	BC, 20 (1971), 447-64.	NULL	Oxford University Press	Oxfordshire	419
319	Lloyd, Llewellyn C.	The book trade in Shropshire. Some account of the stationers, booksellers and printers at work in the county to about 1800.	Trans. Shropshire Arcb. Soc., 48 (1934-35), 65-142, 145-200.	NULL	NULL	Shropshire	420
320	Wallis, P. J., and Robinson, F. J. G.	A preliminary guide to West Midlands book subscription lists.	Newcastle-upon-Tyne: PHIBB, 64, 1974.	NULL	NULL	Shropshire	421
321	Alinutt, W. H.	The King's Printer at Shrewsbury, 1642-43.	Libr., 2nd ser., 1 (1900), 355-64.	NULL	Barker, Robert	Shropshire	422
322	NULL	175th birthday of the Shrewsbury Chronicle.	Shrewsbury, 1947.	Note: An exhibition catalogue. See also Madden and Dixon 1531-32.	Shrewsbury Chronicle, The	Shropshire	423
323	Rodger, Alexander.	Ward's Shrewsbury stock: an inventory of 1585.	Libr., 5th ser., 13 (1958),247-68.	NULL	Ward, Roger	Shropshire	424
324	Green, Emanuel.	Bibliotheca Somersetensis. 3 vols.	Taunton, 1902.	NULL	NULL	Somerset	425
325	Brooke, L. E. J.	Somerset newspapers 1725-1960.	Yeovil: The Author, 1960.	NULL	NULL	Somerset	426
326	Russ, Elsie.	Bath printers of the xviii century.	Somerset Arch. And Natural History Soc.; Proc. Batb and District Branch, (1929-33), 468-71.	NULL	NULL	Somerset	427
327	NULL	History of the Bath Herald, established 1792.	Bath, 1875.	NULL	Bath Herald, The	Somerset	428
328	Rhode, John	A hundred years of printing l795-1895	Frome: Butler and Tanner, 1927.	NULL	Butler and Tanner	Somerset	429
329	NULL	Centenary supplement 1836-1936.	Somerset County Gazette, 2 Jan 1937.	Note: See also Madden and Dixon 1539.	Somerset County Gazette, The	Somerset	430
006A	Bell, Bill	'Pioneers of Literature': The commercial Traveller in the Early Nineteenth Century	The Reach of Print, 121-134	NULL	NULL	General	431
006B	Bell, Maureen	Sturdy Rogues and Vagabonds: Restoration Control of Pedlars and Hawkers	The Mighty Engine, 89-96	NULL	NULL	General	432
012A	English, J.	John Oswald of London	Quadrat, 9 (1959), 13-15	NULL	NULL	General	433
012B	Feather, John	The Provincial Book Trade in 18th century England	Cambridge: CUP, 1985	NULL	NULL	General	434
012C	Feather, John	Country book trade apprentices 1710-1760	Publishing history, 6 (1980), 85-99	NULL	NULL	General	435
012D	Hounslow, David	A Moving Market: The Influence of London Books of Street Cries on Provincial Editions to c1830	The Moving Market, 39-50	NULL	NULL	General	436
012E	Hunter, Lynette	Cookery books and provincial printing in the north of England	19th century S.T.C. newsletter, 6 (1989), 3-11	NULL	NULL	General	437
012F	Isaac, Peter	Charles Elliott and the Provincial Book Trade	The Human Face of the Book Trade, 97-116	NULL	NULL	General	438
012G	Johnson, C.R.	Provincial poetry 1789-1839:  British verse printed in the provinces.	London: Jed Press, 1992.	NULL	NULL	General	439
013A	McKay, Barry	John Atkinson's 'Lottery' book of 1809: John Locke's Theory of Education Comes to Workington	The Moving Market, 127-144	NULL	NULL	General	440
014A	Mitchell, C.J.	Provincial printing in 18th century England	Publishing history, 21 (1987), 15-24	statistics, chronologue based on ESTC	NULL	General	441
015A	Morgan, Paul	Henry Cotton and W.H. Allnutt: two pioneer book-trade historians	The Human Face of the Book Trade, 1-12	NULL	NULL	General	442
023A	Robinson, F.J.G. & J.M., and C. Wadham	Eighteenth-century British books: an index to foreign and provincial imprints	Newcastle-upon-Tyne, 1982	NULL	NULL	General	443
023B	Spufford, Margaret	Small books and pleasant histories: popular fiction and its readership in seventeenth-century England	Methuen, 1981	Chapter V on distributors, chapmen, pedlars	NULL	General	444
023C	Stoker, David	The Country Book Trades 1784-85	The Human Face of the Book Trade, 13-28	NULL	NULL	General	445
031A	Isaac, P., ed.	Newspapers in the Northeast	History of the Book Trade in the North, 78 (1999)	NULL	NULL	Newspapers	446
036A	Pickford, C.	Bedford printers in the eighteenth century	Factotum, 15 (October1982), 21-7	NULL	NULL	Bedfordshire	447
040A	Quarrie, P.F.	Printing at Eton and Windsor, an exhibition at Eton College Library, July 1987	NULL	99 items	NULL	Berkshire	448
069A	McKenzie, D.F.	Cambridge University Press 1696-1712	2 vols., Cambridge: CUP, 1966	NULL	Cambridge University Press	Cambridgshire	449
076A	Nuttall, D.	Book Trade in Cheshire to 1850	Liverpool Bib. Soc., occasional publication 3, 1992	NULL	NULL	Cheshire	450
083A	Perkins, M.R.	A note on the beginning of letterpress printingâ€¦	Factotum, 5, 6-7	NULL	NULL	Cheshire	451
096A	McKay, Barry	Cumbrian Chapbook Cuts: some Sources and Other Versions	The Reach of Prin, 65-84t	NULL	NULL	Cumberland	452
096B	McKay, Barry	Niche Marketing in the Nineteenth Century: The Shepherds' Guides of the Northern Counties	The Human Face of the Book Trade, 191-206	NULL	NULL	Cumberland	453
098A	Isaac, P.C.G.	An inventory of books sold by a 17th century Penrith Grocer (Robert Benson, 1698)	History of the Book Trade in the North, 53 (1989)	NULL	Benson, Robert	Cumberland	454
099A	McKay, Barry	John Ware, Printer and bookseller of Whitehaven: a Year from his Day-Books, 1799-1800	The Mighty Engine, 163-174	NULL	Ware, John	Cumberland	455
100A	Bell, Maureen	Reading in Seventeenth-Century Derbyshire: the Wheatcrofts and their Books	The Moving Market, 161-168	NULL	NULL	Derbyshire	456
106A	Maxted, Jan	Devon book trades: a biographical dictionary	Maxted, 1991	NULL	NULL	Devon	457
110A	Orme, N.	Martin Coeffin, the first Exeter publisher	Library, 4th series, vol. 10 (1988), 220-230	NULL	Coeffin, Martin	Devon	458
112A	Sessions, William Kaye	The King's printer at Newcastle upon Tyne in 1639, at Bristol in 1643-1645, at Exeter in 1645-1646, with illustrations and dates of extant printed works	York: Ebor Press, 1982	NULL	NULL	Devon	459
116A	Maxted, Ian	Newspaper readership in south west England:  an analysis of the Flindell's Western Luminary subscribers list of 1815.	Exeter working papers in British Book Trade History, 9 (1997)	NULL	NULL	Devon	460
117A	Palmer, J.E.C.	The Davy divinity Press at Lustleigh	Factotum, 4, 21-23	NULL	NULL	Devon	461
119A	Peterson, J.B.	Western Evening Herald	Quadrat, 12 (2001), 13-15	Plymouth	Western Evening Herald	Dorset	462
124A	Day, J.R.	Circulating library in the northeast	History of the Book Trade in the North, 67 (1994)	NULL	NULL	Durham	463
127A	McKay, Barry	Niche Marketing in the Nineteenth Century: The Shepherds' Guides of the Northern Counties	The Human Face of the Book Trade, 191-206	NULL	NULL	Durham	464
135A	Baines, P.	The first year of printing in Colchester	Factotum, 33 (1991), 7-9	NULL	NULL	Durham	465
138A	Peddie, R.A.	Notes on provincial printers and booksellers: Essex	Library World, September 1904, 57-60	NULL	NULL	Durham	466
139A	Bensusan-Butt, J.	Ms notes on Colchester printers in Colchester PL	NULL	(E.Col.1.655)	NULL	Durham	467
145A	NULL	Ann Yearsley's Public Library	Factotum, 3, 9-13	NULL	Yearsley, Ann	Gloucestershire	468
145B	NULL	William Gent of Bristol	Factotum, 11, 8-11	NULL	Gent, William	Gloucestershire	469
158A	Stevens Cox, Gregory	Earliest books printed in Guernsey	Brewhouse broadsheet 12, 1973	NULL	NULL	Guernsey	470
158B	Gregory, Alfred	Robert Raikes, journalist and philanthropist	1877	NULL	Raikes, Robert	Hampshire	471
161A	Oldfield, John	Printers, booksellers and libraries in Hampshire, 1750-1800	Hampshire papers, 3, 1993	NULL	NULL	Hampshire	472
161B	Perkins, M.	Hampshire notices of printing presses, 1799-1867	Jones, R., Six centuries, 1990	NULL	NULL	Hampshire	473
161C	Wheeler, R.W.	Booksellers and book trades of Portsmouth and Portsea, 1700-1850	Portsmouth Polytechnic dip. 1987	NULL	NULL	Hampshire	474
162A	Marshelton, Diana	Checklist of works printed by Thomas Baker, 1774-1805	University of London dissertation 1935	NULL	Baker, Thomas	Hampshire	475
163A	Bolton, Claire	A Winchester bookshop and its bindery	1991	A. & R. Holloway, T. Burd	NULL	Hampshire	476
169A	Morgan, P.	George Skyppe's catalogue of books: the library of a 17th century Herefordshire squire	Transactions of the Woolhope Naturalists Field Club, 35 (1955), 24-46	NULL	NULL	Herefordshire	477
170A	Buchanan-Brown, J.	The Haberdashers' Co. of Hereford v James Wills	Quadrat, ` (1995)	NULL	NULL	Herefordshire	478
170B	Latcham, Paul	John Allen, Jun. and his Bibliotheca Herefordiannes	D. Whitehead & J. Eisel, A Hereford Miscellany (2000), 219-223	NULL	Allen, John	Herefordshire	479
171A	Roberts, V.H.	The Leominster Orphans Press {1869+]	Nineteenth Century STC Newsletter, 4 (Feb. 1987)	NULL	NULL	Herefordshire	480
180A	Dixon, Diana	Newspapers in Huntingdonshire in the Eighteenth and Nineteenth Centuries	The Mighty Engine, 143-151	NULL	NULL	Huntingdonshire	481
181A	Goulden, R.J.	Print Culture in the Kentish Weald	The Reach of Print, 1-20	NULL	NULL	Kent	482
181B	Smith, J.R.	Bibliotheca Cantiaria	NULL	NULL	NULL	Kent	483
181C	Cowtan, Robert	Autobiography	NULL	NULL	NULL	Kent	484
181D	Knott, D.	Competition and co-operation in the Kent almanac trade: the Fisher-Simmons partnership	Factotum, occasional paper 3 (1982)	NULL	NULL	Kent	485
182A	Goulders, A.T.	Goulders of Canterbury	NULL	NULL	NULL	Kent	486
182B	Knott, David	Book trade in Kent	Working paper 1: Canterbury directory co. 1775-1832 (1982)	NULL	NULL	Kent	487
182C	Shaw, David	Canterbury's External Links: Book-trade Relations at the Regional and National Level in the Eighteenth Century	The Mighty Engine, 107-119	NULL	NULL	Kent	488
183A	Shaw, David	Books printed or published by James Abree	1981	NULL	Abree, James	Kent	489
183B	Shaw, David and Sarah Gray	James Abree (1691?-1768): Canterbury's First 'Modern' Printer	The Reach of Print, 21-36	NULL	Abree, James	Kent	490
183C	Gray, Sarah	William Flackton, 1709-1798, Canterbury Bookseller and Musician	The Mighty Engine, 121-130	William Flackton	Flackton, William	Kent	491
185C	Sessions, W.K.	John Mychell	1983	NULL	Mychell, John	Kent	492
187A	Knott, David	Book trade in Kent	Working paper 2: Isle of Thanet directory co. 1776-1832.  Privately printed (1989)	Isle of Thanet	NULL	Kent	493
187B	Knott, David	William Garner of Margate	Factotum, 15 -18	Margate	Garner, William	Kent	494
187C	Sprange, J.	Factotum, Occasional paper 3 (1983); and Printing History Society Bulletin, 10 (1983), p. 41	NULL	Tunbridge Wells	NULL	Kent	495
187D	Sprange, J.	Printer's pie archives	British Museum Soc. Bulletin, 43 (July 1983), 29-31	Illustrated	NULL	Kent	496
187E	Sprange, J.	Edmund Baker & J. Sprange	Factotum 38 (1994), 17-21	NULL	Baker, Edmund	Kent	497
187F	Clark, H.P.	Clark's guide	Rye, 1861	Preface on his early career	NULL	Kent	498
203A	Perkin, M.R., ed.	The book trade in Liverpool to 1805: a directory	Liverpool Bibliographical society, Book Trade in the North West project.  Occasional publication 1 (1981)	NULL	NULL	Lancashire	499
203B	Perkins, M.R.	A note on the survival of books with Liverpool imprints	Factotum, Occasional paper 3 (1983)	NULL	NULL	Lancashire	500
210A	Powell, Michael and Terry Wyke	'Aristotle to a Wery Tall Man': Selling Secondhand Books in Manchester in the 1830s	The Moving Marke, 93-106t	NULL	NULL	Lancashire	501
210B	Powell, Michael and Terry Wyke	At the Fall of the Hammer: Auctioning Books in Manchester 1700-1850	The Human Face of the Book Trade, 171-190	NULL	NULL	Lancashire	502
210C	Powell, Michael and Terry Wyke	Penny Capitalism in the Manchester Book Trade: The Case of James Weatherley	The Reach of Print, 135-156	NULL	NULL	Lancashire	503
211A	Scragg, B.	Mrs. Gray's circulating library, Manchester	Quadrat, 5 (Nov. 1998), 13-15	NULL	Gray, Mrs	Lancashire	504
211B	Scragg, Brenda	William Ford, Manchester Bookseller	The Human Face of the Book Trade, 155-170	NULL	Ford, William	Lancashire	505
214A	NULL	NULL	NULL	For James Parker of Preston, see J.R. Turner, 'Books for prizes', Studies in the provincial book trade, BBTI (1950), ed. D.A. Stoker, 1-12.  Post 1850	Parker, James	Lancashire	506
217A	Kendrick, James	Eyres' Warrington Press	Warrington Guardian, 1881	NULL	Eyres' Press	Lancashire	507
217B	NULL	NULL	NULL	For Eyres family, see J.F. Fulton, 'The Warrington academy 1757-1786' (Bulletin of the Institute of the History of Medicine, I, no. 2 (1933), pp. 64-66	Eyres' Press	Lancashire	508
217C	O'Brien, P.	Eyres Press, Warrington, 1756-1802	Wigan: Owl Books, 1953	NULL	Eyres' Press	Lancashire	509
217D	O'Brien, P.	The Eyres Press	Quadrat, 9 (1995), 3-7	NULL	Eyres' Press	Lancashire	510
218B	Hinks, John	The Beginnings of the Book Trade in Leicester	The Moving Market, 27-38	NULL	NULL	Leicestershire	511
218A	Hinks, John	Some Radical Printers and Booksellers of Leicester C1790-1850	The Mighty Engine, 175-184	NULL	NULL	Leicestershire	512
222A	NULL	The industrial history of Gainsborough	1982	NULL	NULL	Lincolnshire	513
222B	NULL	The Mozleys of Gainsborough	Factotum, Occasional paper 3 (1983)	NULL	Mozley	Lincolnshire	514
222C	English, Jim	Chapbooks & Primers, Piety, Poetry & Classics: the Mozleys of Gainsborough	The Mighty Engine, 153-162	NULL	Mozley	Lincolnshire	515
224A	English, J.	The Pawletts of London and Grantham	Quadrat, 7 (1998), 9-10	Grantham	Pawlett, Edward	Lincolnshire	516
224B	NULL	Edward Pawlet of Grantham	Lincolnshire's History and Archaeology, 29 (1994), 11-16	Grantham	Pawlett, Edward	Lincolnshire	517
231A	NULL	William Harrod's circulating library at Stamford	Factotum, 3, 9-13	NULL	Harrod, William	Norfolk	518
236A	Stoker, D.	Mr. Parkin's magpie, the other Mr Whittingham and the fate of Great Yarmouth	The Library, 6th series, 12 (1990), 120-131	NULL	NULL	Norfolk	519
241A	Sessions, W. K. & D. Stoker	The first printers in Norwich from 1567	1987	Includes David Stoker, Anthony de Solempne: attributions to his press	Solempne, Anthony de	Norfolk	520
243A	Stoker, David	Anthony de Solempne: attributions to his press	The Library, 6th series, 3, no. 1 (March 1981, 17-32	NULL	Solempne, Anthony de	Norfolk	521
243B	Stoker, David	Printing at the Red-Well: an Early Norwich Press through the Eyes of Contemporaries	The Mighty Engine, 97-106	NULL	NULL	Norfolk	522
244A	Hansard, Luke	Autobiography	1817	Selection in Trewin and King's Printer to the House, 1952	Hansard, Luke	Norfolk	523
244B	Myers, R.	An edition of Luke Hansard's Autobiography, 1817	Book Trade History Group Newsletter, 10 (March 1990), 12-16	NULL	Hansard, Luke	Norfolk	524
254A	Feather, J.	John Clay of Daventry	Studies in Bibliography, 17 (1984), 198-209	NULL	Clay, John	Northamptonshire	525
255A	Feather, J.	The Diceys and the Chapbook Trade	Library, 24, no. 3 (1968), 219-311	NULL	Dicey	Northamptonshire	526
255B	Duval, Gilles	The Diceys revisited	Factotum, 35 (1992), 9-11	NULL	Dicey	Northamptonshire	527
257A	Day, J.C.	Circulating library in the northeast	History of the Book Trade in the North, 67 (1994)	NULL	NULL	Northumberland	528
258A	McKay, Barry	Niche Marketing in the Nineteenth Century: The Shepherds' Guides of the Northern Counties	The Human Face of the Book Trade, 191-206	NULL	NULL	Northumberland	529
265A	Dodds, K. Ruth	Hexham imprints 1780-1900	Book trade in the North, 50 (1998)	Hexham	NULL	Northumberland	530
271A	Philipson, John	The King's Printer in Newcastle upon Tyne in 1639	The Library, 6th series, 11 (1989), 1-9	NULL	NULL	Northumberland	531
272A	Sessions, W.K.	The King's Printer at Newcastle â€¦ in 1639	York: Sessions, 1982	NULL	NULL	Northumberland	532
272B	Smith, Jeffrey	Books and Culture in Late Eighteenth- and Early Nineteenth-Century Newcastle	The Moving Market, 1-26	NULL	NULL	Northumberland	533
274A	NULL	Thomas Slack	Arch. Aeliana, 3rd series, 17 (1920), 145-51	NULL	Thomas Slack	Northumberland	534
274B	Isaac, Peter	Thomas Slack, 1723?-1784	Quadrat, 7 (June 1998), 18-20	NULL	Thomas Slack	Northumberland	535
275A	Angus, Alan	Thomas Bewick's apprentices	History of the Book Trade in the North, 1993, iii	NULL	Bewick, Thomas	Northumberland	536
281A	Isaac, Peter	William Bulmer, 1757-1830	Sandars lectures 1984	NULL	Bulmer, William	Northumberland	537
282A	Thompson, Margaret	Some aspects of printing in Wallsend	History of the Book Trade in the North, 1982	NULL	NULL	Northumberland	538
291A	NULL	Early Banbury chapbooks and broadsides	The Library, 4th series, 17 (1937), 98-108	NULL	NULL	Oxfordshire	539
293A	Nowell-Smith, S.	Charles Manby Smith	JPHS, 7 (1971), 10	Chipping Norton	Smith, Charles Manby	Oxfordshire	540
313A	Barker, Nicolas	The Oxford University Press and the spread of learning, 1478-1978	Oxford, Clarendon Press, 1978	NULL	Oxford University Press	Oxfordshire	541
320A	Mackarill, Diana R.	George and George Robert Gitton, printers, Bridgnorth	JPHS, new series, 4 (2002), 31-62	Bridgnorth	Gitton, George	Shropshire	542
