IDNumber	Author	Title	PublishingDetails	Note	firmsIndividualsIndex	Location	featherid
026	Wallis, Peter J.	An eighteenth-century book trade index based on 'Newtoniana' and book subscription lists.	Newcastle-upon-Tyne: PHIBB, 140, 1977.	Note: This is one of several relevany publications issued by PHIBB; local studies are listed at the appropriate points in section2. For this project, which has important implicatons for provincial book trade studies, see P. J. Wallis, Book subscriptions. Progress and plans. Newcastle-upon-Tyne: PHIBB, 196, 1979. For further details contact P. J. Wallis, PHIBB, School of Education, University of Newcastle-upton-Tyne, St. Thomas's Street, Newcastle-upon-Tyne NE1 7RU.	NULL	General	208
027	Berkeley, R.	A sketch of early provincial journalism.	Associated Arch. Socs. Reports and Papers, 25 (1898), 550-73.	NULL	NULL	Newspapers	209
028	Cranfield, G. A.	The development of the provincial newspaper 1700-60.	Oxford: Clarendon Press, 1962.	NULL	NULL	Newspapers	210
029	NULL	A handlist of English provincial newspapers and periodicals, 1700-60.	Cambridge: CBS, monograph, 2, 1952.	NULL	NULL	Newspapers	211
030	NULL	A handlist of English provincial newspapers and periodicals, 1700-1760. Additions and corrections.	TCBS, 2 (1956), 269-74.	NULL	NULL	Newspapers	212
031	Greenwood, Jeremy.	Newspapers and the Post Office.	Reigate: Postal History Society, 1971.	Note: This is the best specific account of provincial distdbution of London newspapers by the Post Office, but for general history, see Howard Robinson, The British Post Office. Princeton, N.J.: Princeton University Press, 1948.	NULL	Newspapers	213
032	O'Rourke, D. T.	Early provincial newspapers in Reading University Library.	TCBS, 4 (1966), 256.	NULL	NULL	Newspapers	214
033	Wiles, R. M.	Freshest advices. Early provincial newspapers in England and Wales.	Ohio State University Press, 1965.	NULL	NULL	Newspapers	215
034	NULL	Further additions and corrections to G. A. Cranfield's Handlist.	TCBS, 2 (1958), 385-89.	NULL	NULL	Newspapers	216
035	Conisbee, L. R.	A Bedfordshire bibliography.	Luton, 1962.	NULL	NULL	Bedfordshire	217
036	Janes, A. W.	The Bedfordshire Times.	Bedford, 1969.	NULL	Bedford Times, The	Bedfordshire	218
037	Burton, K. G.	The early newspaper press in Berkshire.	Reading University M.A. thesis, 1954.	NULL	NULL	Berkshire	219
038	Harcourt, L V.	An Eton bibliography.	London: Arthur L. Humphreys, 1907.	Note: A much revised edition of a work first published in 1898. Includes books printed at Eton as well as Etoniana, but the author 'intentionally omitted all School Text-books'.	NULL	Berkshire	220
039	Nixon, H. M.	An Eton binding by Roger Payne, 1764.	BC, 12 (1962), 194.	NULL	Payne, Roger	Berkshire	221
040	Austen-Leigh, R. A.	Joseph Pote of Eton and Bartlet's Farriery. Libr.	4th ser., 17 (1936-37),131-54.	NULL	Pote, Joseph	Berkshire	222
041	NULL	Reading printing 1736-1962. An exhibition.	Reading: Reading University Library, 1962.	NULL	NULL	Berkshire	223
042	Roscoe, S.	John Newbery and his successors.	Wormley: Five Owls Press, 1973.	Note: Newbery started in Reading but subsequently moved to London. 	Newbury, John	Berkshire	224
043	NULL	Bicentenary historical supplement.	Reading Mercury, 7 Jul 1923.	Note: See also Madden and Dixon 1467-68.	Reading Mercury, The	Berkshire	225
167	NULL	190 years of history.	Hampshire Chronicle, 12 May 1962, p.7.	Note: See also Madden and Dixon, 1074- 76	Hampshire Chronicle, The	Hampshire	226
168	Freshwater, P. B. and others, ed.	Working papers for an historical directory of the West Midlands book trade to 1850.	Birmingham: Birmingham Bibliographical Society, 1975-.	Note: Four parts have been published to date; these cover To 1779 (Pt. 1: 1975), 1780-89 (Pt 2:1976), 1790-99, with addenda toworking Papers 1 and 2 (Pt. 3, 1977), and l800-l809 (Pt. 4: 1978). This project is in active progress. For details, contact Nesta Jenkins, Birmingham Bibliograpbical Society, Main Library, University of  Birmingham, Birmingham B15 2TT.	NULL	Herefordshire	227
169	Morgan, F. C.	Herefordshire printers and booksellers.	Trans. Woolhope Naturalists' Field Club, (1939-41), 106-27. Supplementary Notes, Ibid., 40 (1971), 274-75; and 41 (1974),230-38.	NULL	NULL	Herefordshire	228
170	Morgan, F. C.	William Henry Parker's type specimens.	Trans. Woolhope Naturalists' Field Club, 40 (1972), 390.	NULL	Parker, William Henry	Herefordshire	229
171	Morgan, F. C.	A Hereford booksellers' catalogue of 1695.	Trans. Woothope Naturalists' Field Club, 31 (1942), 22-36.	NULL	Williams, Roger	Herefordshire	230
172	Thwaite, M. F.	Hertfordshire newspapers, 1772-1955.	Hertford: Hertfordshire Local History Council, 1956.	NULL	NULL	Hertfordshire	231
173	Moran, James.	Stephen Austin's of Hertford.	Hertford: Stephen Austin and Sons Ltd., 1968.	NULL	Austin, Stephen	Hertfordshire	232
174	NULL	150th anniversary supplement.	Hertfordshire Mercury, 28 Oct 1922.	NULL	Hartford Mercury, The	Hertfordshire	233
175	Blades, William.	Some account of the typography of St Albans in the fifteenth century. 1860. Reprinted with an introduction by Eric Vickers.	London, 1976.	NULL	NULL	Hertfordshire	234
176	Ashdown, C. H.	The schoolmaster printer of St Albans.	Trans. St Albans and Hertfordshire Architectural and Arch. Soc., (1924), 76-79.	NULL	NULL	Hertfordshire	235
177	Barker, Nicolas.	The St. Albans press: the first punch-cutter in England, and the first native typefounder?	TCBS, 7 (1979), 257-79.	NULL	NULL	Hertfordshire	236
178	Moran, James.	The book of St Albans.	Coat of Arms, 8 (1964-65), 48-53.	NULL	NULL	Hertfordshire	237
